Số 323





	Khi đến nhà Karmis, Sirone kiểm tra lại trang phục rồi bước về phía cổng vòm của cổng chính.



	Một nụ cười nở trên môi Jockrey.



	Khuôn mặt vô cảm của Amy hoàn hảo, nhưng bạn có thể nhìn thấu trái tim cô ấy mà không cần phải mở lồng ngực.



	Ông ta hẳn phải phẫn nộ biết bao khi chứng kiến thiên tài của gia tộc Karmis, được cả thế giới công nhận, lại trượt kỳ thi tốt nghiệp.



	'Hử, thế nào? Lúc anh đá em, em còn thấy tệ hơn thế này nhiều.'



	Joker hướng ánh mắt về phía Sirone, người đang đứng đó một cách vô hồn.



	“Tôi thấy một người nổi tiếng ở đây. Arian Sirone. Người có triển vọng nhất trong vương quốc?”



	Shirone im lặng một lúc. Cô có thể nhận ra bằng trực giác rằng anh ta không đến gần cô với ý định thân thiện.



	“Là tiền bối, ta có thể cho ngươi một lời khuyên không? Dù sao thì, một tuyển thủ triển vọng cũng chỉ là một tuyển thủ triển vọng mà thôi. Cuộc thi thực sự bắt đầu sau khi ngươi trở thành một pháp sư chính thức. Ừm, với một người như ngươi, ngươi cũng khá thành công ngay cả với một người ở đẳng cấp thấp nhất. Ha ha ha!”



	Amy hét lên với vẻ mặt giận dữ.



	“Jokre! Anh đang nói gì thế? Mau xin lỗi Shirone đi!”



	“Tại sao lại là tôi? Tôi không nói gì sai cả. Ồ, đó có phải là bí mật công khai không? Nhưng tốt hơn hết là bạn nên từ bỏ vì sức khỏe tinh thần của mình. Nó đã được công bố trên một tạp chí học thuật rồi. Không có ai trong số các sinh viên không biết cả.”



	“Thật sao? Vậy thì, tôi nên nói bất cứ điều gì xuất hiện trong đầu mình? Anh chắc là ổn chứ?”



	Ánh mắt của Joker trở nên dữ tợn. Tôi không biết anh ta đang muốn nói gì, nhưng tôi không khỏi cảm thấy đau nhói.



	'Amy… … .'



	Khi họ gặp lại nhau năm năm sau, Amy đã lớn thành một cô gái xinh đẹp hơn nhiều so với hồi còn trẻ.



	Tóc cô ấy uốn theo kiểu mà bạn không thấy trong các tạp chí học thuật, và quần áo của cô ấy sáng màu và dễ thương. Bất kỳ ai nhìn thấy đều có thể nhận ra rằng cô ấy đã dành nhiều tâm huyết cho vẻ ngoài của mình.



	'Chậc! Vậy ra đây là thứ chỉ có Shirone mới thấy được sao?'



	Trong số các học sinh nam tại Trường Phép thuật Ains, học sinh nữ chiếm tỷ lệ lớn nhất không ai khác chính là Amy.



	Nếu tính trên toàn vương quốc, con số này sẽ cao hơn nhiều.



	Khi nghĩ đến cảnh cô ấy trang điểm và chọn quần áo đẹp chỉ vì một người, tôi cảm thấy như mình đã thua Shirone mà không cần phải chiến đấu.



	'Thật đáng thất vọng, Amy. Làm sao cô có thể hẹn hò với một người thường dân mà không mất trí? Cho dù anh ta có tài năng đến đâu, anh ta vẫn chỉ là một học sinh.'



	Nhìn thấy Shirone cau mày và thậm chí không thể chống trả mặc dù bị xúc phạm vì là thường dân khiến tôi càng bực mình hơn.



	'Ngươi đáng để hỏi, nhưng ngươi không nói một lời nào sao? Ngươi đang lờ ta sao? Không, có lẽ ngươi sợ từ 'phù thủy chính thức'. Thật là một tên khốn đáng thương, núp sau một người phụ nữ... Chậc chậc.'



	Jockrey đã nhầm.



	Đối với Shirone, người đã từng chiến đấu với Bossun, một pháp sư cấp 4 được chứng nhận, danh hiệu pháp sư chính thức không phải là mối đe dọa lớn.



	Lý do Shirone cau mày không phải vì Jocrae, mà là vì chiếc Armand anh ta đang đeo trên eo.



	Tinh thần con người trôi chảy như nước.



	Và chức năng điều khiển được đánh giá của Armand là một chức năng tinh tế, gần như đồng bộ 100% với tâm trí của chủ sở hữu.



	Nếu bạn không thể kiểm soát cảm xúc của mình một cách hoàn hảo, Armand sẽ bị lay động trước khi bạn có thể kiểm soát được tâm trí.



	Đó là lý do tại sao nó là một thanh kiếm ma thuật.



	Tất nhiên, điều đó không quan trọng với chủ sở hữu trước, Zion. Anh ta có thể làm bất cứ điều gì anh ta muốn và thế là xong.



	Tuy nhiên, Shirone vẫn phải tiếp tục cuộc sống học đường của mình một cách bình thường.



	Là một thường dân không có ai tin cậy, nếu anh ta phạm tội giết người, anh ta có thể rơi vào tình thế không thể cứu vãn.



	Vấn đề lớn nhất là sau khi gặp Kazura, tôi khó có thể kiểm soát cảm xúc như trước.



	Behemoth mà Mashin chiếm hữu bị mắc kẹt trong Phong ấn Ác quỷ, nhưng lại được kết nối với linh hồn của Sirone thông qua từ khóa tức giận.



	Nếu cảm xúc của Armand bị khuếch đại đến mức không thể kiểm soát được, anh ta sẽ chặt đầu đối thủ mà không cần suy nghĩ.



	'Tôi đoán là mình ra ngoài chẳng được gì. Từ giờ trở đi tôi phải cẩn thận hơn.'



	Joker lè lưỡi với Shirone, người cuối cùng không thể tấn công, và chỉ vào sân thi đấu trong khi nói chuyện với Amy.



	“Tôi đoán là bạn không thể tin tưởng mọi thứ trong các tạp chí học thuật. Bạn thậm chí không thể tặng bạn gái mình một con búp bê. Chúng tôi có thể cho bạn xem một ví dụ không?”



	Amy nhún vai.



	Đây là trò chơi mà bất kỳ ai cũng có thể chơi nếu họ trả tiền, vậy thì việc xin phép có ý nghĩa gì?



	“Được thôi, nếu anh muốn làm thì làm đi.”



	Đoàn kỵ sĩ bước vào phòng trò chơi.



	Vivian nói để Shirone có thể nghe thấy, dường như cô ấy nhận thức được thách thức của mình.



	“Các anh ơi, nếu các anh cưỡi được Nữ hoàng băng giá thì phải nhường cho tôi nhé.”



	“Cứ thử xem. Ờ, sẽ dễ thôi nếu đó là Ludvans.”



	Người dẫn chương trình đưa ra một hộp bóng tuyết. Người trả tiền là Jockrey, nhưng người nhận hộp là Rudvans.



	Joker nhìn lại Shirone và Amy, những người đang theo dõi một cách thích thú, rồi chỉ ngón tay cái vào Rudbance.



	“Rudbance là cầu thủ ném bóng tiêu biểu của trường chúng ta. Bạn có thể mong đợi điều đó.”



	Ném bóng là môn thể thao chiến đấu có nguồn gốc từ chiến tranh cổ xưa, bao gồm các đội gồm năm người đánh đối thủ bằng một quả bóng cao su trên sân có mái che.



	Đối với những người nghiệp dư, đây là môn thể thao mà ngay cả trẻ em cũng có thể thích, nhưng khi đạt đến trình độ bán chuyên nghiệp, chẳng hạn như cuộc thi ở trường, tốc độ của cú ném bóng nhanh có thể lên tới 160 km/giờ.



	Đây là môn thể thao thú vị nhưng có nguy cơ chấn thương cao vì có nhiều thay đổi và chiến thuật sử dụng ba đệm.



	Rudbance là át chủ bài của trường, và đội ném bóng của Eins đủ mạnh để lọt vào tứ kết của cuộc thi toàn quốc năm ngoái.



	“Chúng ta nên bắt đầu khám phá ở đâu trước?”



	Tư thế của Ludvans rõ ràng khác với người bình thường. Mỗi phần chuyển động đều có cơ chế riêng và chúng được kết nối nhịp nhàng để tạo ra sức mạnh tốt nhất.



	Khi tôi vung tay về phía trước như thể sắp ngã về phía trước, một luồng gió mạnh thổi đến và quả cầu tuyết bay đi.



	Vivian reo lên vui mừng khi bắn trúng đích.



	“Tốt! Lần đầu tiên tôi đã thành công! Quả nhiên, anh ấy là át chủ bài của trường chúng ta!”



	=======================================





Số 327





	Nhưng vẫn còn quá sớm để thích điều đó. Mục tiêu sắp rơi xuống đã nảy trở lại.



	“Thật đáng tiếc! Vòng đầu tiên đã thất bại!”



	Vivian nhìn mục tiêu đang thực hiện chuyển động con lắc một cách vô lý, rồi nhướng mày và chất vấn người dẫn chương trình.



	“Tại sao nó lại thất bại? Nó hoàn toàn đúng.”



	“Không, không. Tôi đã nói rõ ràng là chúng ta phải hạ gục mục tiêu.”



	“Đây không phải là một vụ lừa đảo hoàn toàn sao?”



	“Haha! Lừa đảo à? Đây là lần đầu tiên anh đến Lễ hội mùa đông à? Ai cũng biết điều đó. Và đây là loại sưu tầm gì vậy? Nếu sau này anh bán lại, nó sẽ dễ dàng có giá trị hơn 1 vàng.”



	Joker nhìn lại Ludvans và hỏi.



	“Hình như có một cái lò xo gắn ở dưới đáy. Bạn có thể làm được không?”



	“Được rồi… vẫn còn chín vòng nữa.”



	Ludvans đặt quả cầu tuyết ở vị trí thuận lợi để bắt nó và nhìn vào mục tiêu, suy nghĩ.



	'Khó để quyết định góc độ. Có thực sự là tôi không còn lựa chọn nào khác ngoài việc đi thẳng không?'



	Trong mười phút tiếp theo, tôi đã ném hết chín quả cầu tuyết còn lại.



	Rudbance, người đã chấp nhận thử thách với thái độ quyết tâm, vẫn giữ vẻ mặt vô cảm, nhưng những giọt mồ hôi đã đọng lại trên trán anh và hơi nước đang bốc lên từ đầu anh.



	“Thật đáng tiếc. Tôi nghĩ sẽ ổn nếu chúng ta làm thêm một lần nữa.”



	Thử thách đã thất bại.



	Đó là một sai lầm khi đánh quả bóng thứ 2 và thứ 3 liên tiếp nhưng lại đánh trượt quả bóng thứ 4, thứ 5 và thứ 6.



	Bắn trúng mục tiêu với lực mạnh nhất từ khoảng cách xa hơn sân vận động không phải là điều dễ dàng ngay cả với một vận động viên bán chuyên nghiệp.



	Mặc dù anh ấy đã đánh hết tất cả các quả cầu tuyết từ lỗ thứ 7, nhưng mục tiêu vẫn không rơi xuống.



	Shirone đã nhận được gợi ý từ đó.



	'Tôi đoán là tôi phải dùng độ đàn hồi để vượt qua nó. Tôi thấy lạ khi họ lắp lò xo vào mục tiêu.'



	Khi lực của con lắc vẫn còn và mục tiêu bị đánh liên tục, độ đàn hồi dần trở nên mạnh hơn. Cuối cùng, khi nó vượt qua điểm tới hạn, nó không thể chịu được trọng lượng và rơi xuống.



	Độ chính xác của Ludvans thật đáng kinh ngạc, anh ấy ném trúng 7 trong số 10 cú sút, nhưng anh ấy đã thất bại vì không liên tục sử dụng lực.



	“Amy, sao cô không thử xem?”



	“Hả? Tôi á?”



	Amy quay lại nhìn Shirone như thể cô ấy rất ngạc nhiên.



	Trên thực tế, một người luôn vui vẻ như cô không thể không giật giật tay trước một trò chơi thú vị như vậy. Nhưng vì thường thì đàn ông sẽ thách thức phụ nữ thể hiện sức mạnh trước mặt họ, nên cô chỉ đứng nhìn.



	'Ồ, thì ra tình hình là thế này sao?'



	Có vẻ như anh ấy biết Shirone đang nghĩ gì. Ngay lúc này, anh ấy là người cần phải dồn sức vào vai mình.



	'Vậy thì không cần phải trừ nó đi nữa.'



	Amy bước đến chỗ người chủ nhà và trả cho ông ta mười đồng bạc.



	Nếu Ludvans là đại diện sinh viên cho vị trí ném bóng thì Amy là một tay bắn tỉa tương lai với lòng tự hào bị đe dọa.



	“Tôi cũng muốn thử. Đây là 10 bạc.”



	"Ồ, đã lâu rồi chúng ta không có nữ chiến sĩ? Nhưng mà, tiểu thư, lính gác tháp canh không bị vẻ đẹp đánh lừa đâu. Nhưng mà, tôi sẽ tặng cô thêm một quả cầu tuyết miễn phí, cố gắng lên nhé."



	“Không, không sao cả. Mười là được rồi.”



	“Ha ha! Thật là một cô gái can đảm! Mọi người, hãy cho cô gái can đảm này một tràng pháo tay!”



	Những người chứng kiến đã vỗ tay vang dội khi một cô gái yếu ớt dường như không thể ném một quả cầu tuyết thẳng đến tháp canh đã chấp nhận thử thách.



	Amy liếm môi và cầm quả cầu tuyết trong tay. Đồng tử cô chuyển sang màu đỏ khi hình ảnh bản thân cô nhớ lại trạng thái hiện tại của mình.



	“Này, đi nào.”



	Khi tôi vung tay theo một động tác dễ thương, quả cầu tuyết rơi xuống như một quả bóng vô dụng trước khi kịp leo lên được nửa đồi.



	Những du khách phá lên cười vui vẻ.



	Nhưng Shirone nín thở theo dõi. Giá trị thực sự của Amy chỉ mới bắt đầu.



	Không giống như phường đầu tiên, Amy đã vào tư thế thích hợp và nhìn chằm chằm vào mục tiêu.



	Thông tin trong bộ nhớ hình ảnh tự sửa lỗi và giúp não cảm nhận được quỹ đạo chính xác.



	Cô nắm chặt quả cầu tuyết, sử dụng cách xây dựng cơ bản của sơ đồ, tăng cường cơ bắp, sải những bước dài và vung tay mạnh.



	Ánh mắt của những người chứng kiến mở to khi quả cầu tuyết bay với tốc độ tương tự như tốc độ kiềm chế của Rudbeck và chạm vào mục tiêu.



	Amy lưu lại trạng thái của quả bóng thứ hai vào Hong-an. Sau đó, cô ấy ném quả bóng thứ ba, thứ tư và thứ năm một cách máy móc.



	Mục tiêu rung lắc ngày càng mạnh hơn sau mỗi lần ném bóng tuyết, và cuối cùng, không thể chịu được cú ném thứ tám, nó đổ ầm xuống.



	“Whoaaaa! Cô ấy đã vượt qua! Cô gái đã vượt qua mục tiêu!”



	“Cô ơi, cô là vận động viên à? Cô thật sự rất tuyệt vời.”



	Amy thở ra, nhìn lên trần nhà với cảm giác nhẹ nhõm.



	Khi tôi tự mình thử, đây chắc chắn là một trò chơi có độ khó cao. Ngay cả khi một người dùng lược đồ đến, nó cũng sẽ khó khăn đối với một người chưa rèn luyện giác quan của mình.



	Tất nhiên, một bậc thầy về thuật này có thể hạ gục mục tiêu chỉ bằng một phát bắn có sức mạnh tương đương với một khẩu đại bác, nhưng một người như vậy sẽ không làm trò hề khi nhận một con búp bê tại lễ hội.



	Người chủ nhà sẵn sàng trao giải thưởng cho những người vượt qua thử thách.



	Amy nhận búp bê Nữ hoàng băng giá, cảm ơn những người đã cổ vũ cô và nâng nó lên như một chiếc cúp.



	Vivian nhìn búp bê Nữ hoàng băng giá với nụ cười hình lưỡi liềm trên môi, vẻ mặt đầy vẻ buồn bã.



	“Ồ, thế thì tốt quá. Tôi muốn thế.”



	Shirone và Amy phấn khích bước đi, thậm chí không nhớ rằng Jokre và nhóm của anh ta cũng đang ở đó.



	Rudbeck nói.



	“……Có chút phiền phức.”



	Jocredo cũng cảm thấy như vậy.



	“Hừ, từ nhỏ đến lớn, hắn chỉ lo cho bản thân mình, cho nên mới trượt tốt nghiệp. Nghe nói bị một đám người đánh. Cho nên, hắn chỉ có thể chơi với thường dân.”



	Sau khi đến tầng một, Shirone và Amy mới nhớ đến nhóm Joke.



	Tôi không bao giờ muốn quay lại. Họ không phải là những người mà tôi tiếp cận với thiện cảm ngay từ đầu.



	Amy ôm búp bê Nữ hoàng băng giá vào ngực và cọ má vào búp bê, cảm nhận chất liệu mềm mại của nó.



	“Hehehe! Dễ thương quá.”



	Chỉ cần nhìn thôi là Shirone đã cảm thấy vui rồi.



	Trái ngược với vẻ bề ngoài của cô, cô thích những con búp bê dễ thương. Thực ra, cô không có nhiều gấu bông trong phòng sao?



	'Tôi mừng vì mình có sở thích bình thường.'



	Tôi thực sự nghĩ như vậy.



	Bởi vì những thứ như búp bê sứ của El Crouch, một phần trong bộ sưu tập của Uorin, không phải là những thứ có thể sưu tầm được trừ khi bạn có gu thẩm mỹ tệ.



	“Ngay cả khi bạn cho rằng bạn chỉ nhận được 1 vàng khi cho đi 20 bạc, bạn vẫn kiếm được 80 bạc.”



	"Ha ha! Ngươi như vậy rất bình thường. Nhưng không phải đã quá muộn để nghĩ đến những chuyện như vậy sao? Ta đang nói đến người giàu nhất trong trường học ma pháp."



	“Người giàu nhất ư? Tôi ư?”



	Amy chỉ vào áo khoác của Shirone.



	“Armand. Chỉ riêng giá trị của những món đồ bị đánh cắp đã hơn 2 tỷ vàng rồi sao? Vậy thì, chẳng phải nó sẽ đáng giá ít nhất gấp đôi số tiền đó khi đấu giá sao? Tóm lại, anh đang bám lấy toàn bộ trường chúng ta ngay lúc này.”



	Chỉ đến lúc đó Shirone mới nhận ra và chớp mắt.



	Bởi vì số tiền đó quá lớn so với lẽ thường nên tôi thậm chí không thể nghĩ đến việc đánh giá giá trị của thanh kiếm.



	Khi tôi nghĩ đến việc đi qua đám đông trong khi mang theo một vật phẩm cấp S trị giá hơn 4 tỷ vàng, tôi đột nhiên cảm thấy cứng đờ ở bên người nơi tôi cầm kiếm.



	'Nếu ai đó đánh cắp nó thì sao? Không, vì chúng ta chia sẻ tâm trí với nhau, nên không có khả năng nó bị đánh cắp.'



	Amy cẩn thận đặt búp bê Nữ hoàng băng giá vào túi. Shirone, người vẫn đang theo dõi, chỉ ra bên ngoài và nói.



	“Chơi game nóng quá, chúng ta ra ngoài giải nhiệt nhé.”



	“Ừ. Tôi cũng cần hít thở không khí. Tôi có nên đi trượt băng không? Tôi nghe nói chất lượng băng ở đây rất tốt.”



	Shirone gật đầu đồng ý.



	Tôi nhớ lại những ngày vui chơi trên hồ băng với đôi giày trượt mà bố làm cho tôi khi tôi còn nhỏ.



	“Được rồi! Vậy thì chúng ta đi đến sân trượt băng nhé!”



	Triết lý của Pháp sư chiến đấu (1)





	Có rất nhiều người yêu nhau ở sân trượt băng.



	Shirone và Amy cũng hòa vào dòng người và trượt băng quanh chu vi của sân băng.



	Cơn gió mùa đông lạnh lẽo thổi vào thật sảng khoái.



	Trong khi theo chân người phía trước và trượt trên băng, Amy đã có thể quên đi nỗi lo lắng về thực tế trong giây lát.



	Nhưng cảm giác vui vẻ đó biến mất ngay khi tôi nhìn thấy Jockrey và nhóm của anh ấy bước vào sân trượt băng.



	Họ không hòa vào dòng người mà biểu diễn những động tác trượt băng ở giữa sân băng.



	Việc này không vi phạm quy định, nhưng Amy cũng không thích, có lẽ vì cô đã phát ngán với nó.



	“Cái gì? Anh theo tôi đến tận đây à?”



	"Tôi đoán là tôi đến đây để trượt băng. Đừng lo lắng về điều đó."



	Amy không muốn dính líu tới băng đảng Jockey.



	Mỗi lần nhìn thấy các em tự tin vượt qua kỳ thi tốt nghiệp và tận hưởng thời gian rảnh rỗi, tôi lại cảm thấy nỗi đau thất bại ngày càng tồi tệ hơn.



	“Được rồi. Chúng ta tránh ra đi. Chúng ta đã nguội rồi, muốn đi xem những nơi khác.”



	“Vậy sao? Được thôi.”



	Shirone và Amy hướng về lối ra, đẩy lưỡi giày trượt một cách vụng về.



	“Này! Anh sắp đi rồi à?”



	Khi Shirone quay lại, Jokre đang chạy hết tốc lực, vung tay.



	Anh vội vã kéo Amy về phía mình, nhưng anh đột nhiên dừng lại khi quay lại. Lưỡi giày trượt cào vào băng, bắn tung bột băng. Lông mày Shirone nhíu lại khi cái lạnh đập vào mặt anh.



	“Sao anh lại làm thế? Trước mặt ai đó.”



	“Ha ha! Sao anh lại tức giận vì chuyện như thế? Anh còn khắt khe hơn cả những gì tôi nghe nói. Tôi chỉ đùa thôi.”



	“Vậy tại sao anh lại đùa?”



	Amy bước tới trước, đẩy Sirone sang một bên.



	“Sao anh cứ đi theo tôi thế? Có gì muốn nói thì nói cho đàng hoàng đi, đừng có trẻ con như vậy.”



	“Đã lâu rồi chúng ta không gặp nhau. Đây là số mệnh, chúng ta hãy vui vẻ nhé. Chúng ta vẫn còn bài tập phải làm.”



	“Giải pháp? Giải pháp nào?”



	Khi nghĩ đến Joker, tôi chỉ nghĩ đến việc anh ta từ bỏ việc thi đấu ở một ngôi trường danh giá và bỏ trốn để chuyển đến một ngôi trường khác.



	'Hả? Không thể nào... ... ?'



	Một cảnh tượng mơ hồ hiện lên trong tâm trí Amy.



	Trước khi chuyển trường, Jockrey đã thú nhận tình yêu của mình với cô.



	Vào thời đó, đây là một sự việc quá phổ biến đến nỗi đáng ngạc nhiên là chúng ta không cần phải nhớ đến nó nữa.



	Nhưng ít nhất thì hôm nay tôi có thể thấy được biểu cảm của Shirone.



	Không có người phụ nữ nào trên thế giới này coi từ "hẹn hò" là một trò đùa chỉ vì bạn nói nó như một trò đùa.



	Amy là một người phụ nữ chứ không phải là một kẻ ngốc.



	Nếu một người đàn ông và một người phụ nữ cùng nhau đi du lịch trong hai đêm và ba ngày, họ đã chuẩn bị đầy đủ cho mọi chuyện có thể xảy ra và đi theo Shirone.



	Tôi không muốn Shirone cảm thấy khó chịu với quá khứ nực cười của tôi.



	Bạn sẽ không cảm thấy tệ khi chỉ nhận được lời thú tội, nhưng lại là chuyện khác khi người trong cuộc đứng trước mặt bạn.



	“Được rồi. Tôi không muốn nói chuyện với cô. Shirone, chúng ta đi nơi khác đi. Tôi không cần phải chơi với bọn trẻ này.”



	Khi Amy cố gắng rời đi, Jockrey không để ý đến Sirone và tiến về phía cô.



	“Chờ một chút, tôi sẽ nói hết những gì tôi đang nói……”



	Joker ngừng nói và quay đầu lại. Shirone đang giữ vai anh ta và cau mày.



	“Tôi đã bảo là đừng mà.”



	“Ngươi, ngươi không buông tay này ra sao? Tuy rằng chúng ta học khác trường, nhưng ta vẫn là tiền bối của ngươi, ta là một pháp sư toàn năng.”



	“Đó là thế đó, và đây là thế này.”



	Jokere bị sốc trước vẻ ngoài kiêu ngạo của Shirone.



	"Bạn hẳn rất tự hào khi được mọi người xung quanh đối xử tốt như vậy, mặc dù bạn có địa vị thấp kém. Bạn biết điều đó, phải không? Amy và tôi đã biết nhau từ khi chúng tôi mười ba tuổi. Không liên quan gì đến bạn."



	“Chúng ta gặp nhau khi nào thì có quan trọng gì? Nếu anh nghĩ theo hướng đó, chúng ta gặp nhau khi chúng ta mười hai tuổi. Nếu anh không thích tôi, xin đừng làm phiền tôi nữa và biến đi.”



	“Cái gì? Hai người gặp nhau khi hai người mười hai tuổi à?”



	Joker bị sốc bởi lời nói dối của Sirone.



	Nhờ ghi nhớ nhật ký học tập, tôi cũng biết được về quá khứ của Shirone.



	Làm sao anh, một người chỉ mới theo học trường phép thuật được một năm, có thể gặp Amy ở tuổi mười hai?



	Hơn nữa, anh ta không phải là nhà quý tộc mà là con trai của một người leo núi.



	“Anh thật là vô liêm sỉ. Anh nghĩ một lời nói dối như vậy có tác dụng sao? Anh có biết nếu anh bị một người lớn tuổi trong ngành này phát hiện ra thì sẽ thế nào không? Nhất là một người như anh, không có nơi nào để nương tựa, anh sẽ bị đuổi ra ngoài.”



	“Tôi không muốn đến một nơi có những người lớn tuổi đưa ra những lời đe dọa vụn vặt.”



	“Đứa trẻ này là có thật!”



	Khi nhìn thấy Shirone vẫn tiếp tục chiến đấu mà không nói một lời, Jockrey mất hết lý trí và giơ nắm đấm lên.



	Nhưng ngay lúc anh ta sắp vung nắm đấm, một cục tuyết từ đâu đó bay ra và đập mạnh vào sau đầu anh ta.



	=======================================





Số 328





	“Ối!”



	Đó là một khối tuyết rắn chắc khiến xương anh run rẩy. Hơn nữa, nơi anh đang đứng lại là một sân trượt băng trơn trượt.



	Jockrey không giữ được thăng bằng nên ngã về phía trước.



	Sự vô lý này chỉ kéo dài trong chốc lát, cơn giận dữ dâng lên. Người nào không sợ hãi mà lại làm ra trò đùa như vậy?



	“Cái gì! Ai thế!”



	Jockrey quay đầu lại, chạm vào sau đầu mình.



	Một chàng trai tóc hoa râm đẹp trai đứng bên ngoài sân trượt băng, ném bóng tuyết. Tay kia cầm một cốc cà phê đá, không hợp với thời tiết lạnh giá.



	“Cho dù bạn không được phụ nữ ưa chuộng đến đâu thì việc chạm vào một cặp đôi đang hẹn hò vẫn rất khó chịu.”



	Jockley nheo mắt nhìn khuôn mặt quen thuộc.



	Vivian lẩm bẩm với vẻ mặt ngạc nhiên.



	“Đứa trẻ đó… có phải là Dante không? Airhein Dante.”



	Dante bước vào sân băng với đôi giày trên chân. Anh đá vào băng và lướt về phía nó bằng một chân, và Ludvans và Vivian vô tình tránh đường cho anh.



	'Ôi trời ơi. Thật sự là Dante sao?'



	Vivian không thể tin vào mắt mình.



	Cô là thần tượng của mọi người, từ khi vào học viện ma pháp đến nay chưa từng mất đi vị trí cao nhất trong vương quốc. Cho nên khi tin tức Dante bị Sirone đánh bại được công bố trên tạp chí học thuật, toàn bộ học sinh trong vương quốc đều chấn động.



	Có một thời, tôi, một học trò của Jocredo, thường xé các bài viết của Dante và dán vào sổ tay để đốt với quyết tâm cao độ.



	Nhưng chúng ta sẽ còn gắn bó với những kỷ niệm thời sinh viên trong bao lâu?



	Trên hết, đó là nỗi nhục lớn nhất trong cuộc đời tôi khi bị đánh vào sau đầu trước khi tôi kịp nói lời nào.



	“Này, anh…….”



	Dante không để ý đến lời nói của Jocre và tiến về phía Sirone.



	"Đã lâu rồi nhỉ, Shirone. Và Amy nữa."



	Amy khoanh tay và trừng mắt nhìn anh.



	“Hả? Bây giờ anh còn gọi tên tiền bối của tôi nữa à?”



	“Haha! Dù sao thì chúng ta cũng sẽ học chung lớp tốt nghiệp vào học kỳ tới.”



	Amy cũng không có tâm trạng tệ.



	Trong cuộc thi Icheonbyeon, tôi được đối xử tôn trọng như một tiền bối, nên thái độ thân thiện của tôi có vẻ ngượng ngùng.



	Nhưng tính cách của Dante thực sự rất tuyệt, nên có vẻ như anh ấy đã xóa ký ức đó khỏi tâm trí mình.



	Dù sao thì sự thật là ngay cả khi chúng ta là đối thủ ở trường, chúng ta vẫn rất vui khi gặp bạn cùng lớp ở ngoài trường.



	Shirone nói với một nụ cười.



	“Tôi thấy anh ở đây. Điều gì đưa anh đến đây?”



	“Như bạn thấy đấy, tôi đến đây để chơi. Tôi đi du lịch mỗi kỳ nghỉ. Nhưng đây là lần đầu tiên tôi đến Creas. Có người giới thiệu lễ hội mùa đông cho tôi.”



	“Tôi hiểu rồi. Cô đến một mình à? Closer và Sabina?”



	"Họ sẽ tham gia khóa huấn luyện đặc biệt ngay sau kỳ nghỉ. Chắc hẳn giờ họ đã nhận ra địa ngục là gì rồi. Dù sao thì, tôi nói cho anh biết, họ là những đứa trẻ chán ngán việc chơi với nhau."



	Sirone bật cười khi Dante nhún vai.



	Trong lúc vui vẻ, đôi khi tôi tự hỏi liệu có ổn không khi làm như vậy. Tuy nhiên, khi nhìn thấy vẻ ngoài thoải mái của Dante, tôi nhận ra rằng gánh nặng của mình chẳng là gì cả.



	'Dante, anh thực sự tuyệt vời.'



	Đôi khi khi nghĩ lại về cuộc đấu thứ hai nghìn, tôi ngạc nhiên vì mình đã đánh bại Dante.



	Ngoài phép thuật, anh ấy còn có tố chất của một ngôi sao. Sức mạnh tập trung sự chú ý của mọi người không phải là thứ có thể đạt được thông qua nỗ lực.



	Đúng như mong đợi từ một người đến từ thủ đô Baska, anh ấy ăn mặc rất đẹp.



	Mặc chiếc áo khoác xanh, quần bó màu đen và khăn quàng cổ màu tím, cô trông rạng rỡ mà không hề lòe loẹt.



	Ngoài ra, cô ấy còn xỏ khuyên ở một bên tai. Là một người mới vào nghề thời trang, Shirone không khỏi ngạc nhiên.



	Nhưng Jockrey lại nghĩ khác.



	Tôi đã hoàn toàn bị phớt lờ.



