Số 92





	“Tên của bạn là Harvest.”



	Arcane nhận ra rằng Sirone là sự đối lập với chính mình. Bạn không thể hy sinh thiểu số vì đa số sao? Một số người có thể gọi đây là điều tốt, nhưng nếu điều này thực sự xảy ra, sẽ không có nhiều người chấp nhận nó. Bởi vì con người là những sinh vật lang thang giữa thiện và ác, tìm kiếm những gì có lợi cho họ. Tuy nhiên, Sirone đã ở ngay bờ vực của điều tốt. Cả kẻ giết người tàn bạo và vị thánh đã cứu nhân loại đều vô nhân đạo. Và cả hai đều bị công chúng ngược đãi như nhau.



	'Cuộc sống của ngươi cũng không dễ dàng đâu. Chết ở đây sẽ là một phước lành cho ngươi.'



	Phù thủy lựa chọn giữa thiện và ác dựa trên trí thông minh của mình. Đối với Arcane, người tin rằng hiệu quả của cái ác là thứ thúc đẩy nhân loại, Sirone là kẻ thù tương lai phải bị xóa sổ.



	"Chúng ta không có ý định hợp tác. Thật đáng tiếc, nhưng tôi đoán mình sẽ phải chết."



	Shirone giật mình lùi lại. Arcane, người rõ ràng vẫn còn yếu đuối chỉ một lúc trước, giờ đang tỏa ra hào quang của một pháp sư vĩ đại thực sự.



	“Em ngạc nhiên không, cưng? Phép thuật là một thứ bí ẩn.”



	Theo nghiên cứu của Hiệp hội Pháp thuật, sự mệt mỏi về mặt tinh thần mà một phù thủy trải qua khi sử dụng phép thuật thuần túy tương đương với một người bình thường trải qua khi tập trung vào một nhiệm vụ trong 48 phút.



	Nhưng Arcane bỏ qua những phép tính số học này và ngay lập tức tăng sức mạnh của mình.



	“Kết thúc ở đây thôi. Sẽ không còn đau đớn nữa.”



	Một bóng đen xuất hiện từ cơ thể của Arcane, và một tấm màn đen che phủ bầu trời. Mọi người kinh ngạc trước kích thước khổng lồ của nó. Nó có quy mô khác với sức mạnh bóng tối mà Canis đã thể hiện.



	Khi Arcane giơ tay phải lên, bức màn tụ lại thành hình nắm đấm. Shirone hoàn toàn kinh ngạc. Xét theo kích thước của nắm đấm, nếu nó rơi xuống, một nửa bồn rửa sẽ bị thổi bay.



	'Bạn không thể ngăn cản nó. Nhưng bạn cũng không thể tránh được nó.'



	Nếu sức mạnh của bóng tối được định lượng, lực tác dụng bởi một khối lập phương đơn vị (chiều dài, chiều rộng và chiều cao 1 cm) sẽ xấp xỉ 0,1 N, tốt hơn một chút so với khớp hàm của một con kiến. Tuy nhiên, nếu vượt quá một trăm triệu đơn vị, nó sẽ có thể quét sạch mọi thứ trên mặt đất bằng một lực cực lớn là một nghìn tấn.



	“Đừng làm trò hề nữa, thưa chủ nhân.”



	Mọi người trong bồn đều hướng mắt về phía vách đá. Alpheus đang đứng đó, cõng hành lý trên lưng. Sau đó, một tia sáng xoáy tròn với tiếng động lớn, và Sade đáp xuống bên cạnh Alpheus.



	“Ông BUỒN!”



	Khuôn mặt của Sirone và nhóm của anh ta sáng bừng lên. Chỉ cần Alpheus và Saad xuất hiện là đủ để khiến họ cảm thấy như mình đã có được một ngàn quân. Saad nhìn lên sức mạnh của bóng tối và niệm Fire Line. Ngọn lửa bắn ra theo hình xoắn ốc kép và tụ lại thành một quả cầu lửa khổng lồ.



	"Ồ……."



	Khi quang cảnh xung quanh mờ dần thành ánh sáng trắng, anh thậm chí không thể mở mắt. Tuy nhiên, Arcane đã sử dụng sức mạnh của ma thuật đen để bù đắp ánh sáng đang đốt cháy võng mạc của anh và nhìn thẳng về phía trước.



	“Ừm.”



	Khi anh ta xòe lòng bàn tay về phía đường lửa, sức mạnh đen tối lơ lửng trên bầu trời cũng di chuyển theo chuyển động đó và tóm lấy một quả cầu lửa khổng lồ.



	Vui quá!



	Shirone rùng mình. Đây là lần đầu tiên có thứ gì đó cháy với tiếng động lớn như vậy. Khi thế giới lại chìm vào bóng tối, Sade nhăn mặt và chuyển Vùng Linh hồn sang chế độ tấn công.



	“Chậc! Đúng là một ông già khó chịu……!”



	Alpheus giơ tay lên để ngăn họ lại.



	“Dừng lại, THAAD.”



	“Nhưng mà, sư phụ……”



	"Đó là việc của tôi. Đó là việc của tôi và của Arcane. Từ giờ trở đi, hãy để tôi lo."



	Alpheus thong thả bước đi. Sau đó, Arcane cũng tắt đường lửa và trả lại sức mạnh bóng tối đang lơ lửng trên bầu trời thành hình dạng một tấm rèm.



	"Ông già rồi, Alpheus. Dù sao thì ngay cả phù thủy thời gian cũng chỉ là một con người trước khi thời gian trôi qua."



	Alpheus lờ đi lời chào đã kéo dài bốn mươi năm. Ít nhất là chưa phải bây giờ… … Đây không phải lúc để hai ông già ngu ngốc và thiếu hiểu biết giải quyết quá khứ. Sau khi đi qua hàng trăm học viên và kiểm tra Iruki, Neid và Sirone bị thương, anh quay lại nhìn Etella lần cuối. Những vết bầm tím rõ ràng là do va chạm với Arcane đã lan rộng trên làn da nhợt nhạt của cô.



	"Em đã phải chịu khổ rồi, Etella. Là lỗi của anh vì đã vô đạo đức. Anh chỉ có thể nói rằng anh xin lỗi."



	“Không. Tôi xin lỗi. Tôi không thể cứu được học sinh.”



	Alpheus lắc đầu. Khi cô đến phỏng vấn xin việc làm giáo viên, cô đã rất bối rối, vì cô rất giỏi về phép thuật, võ thuật và kỹ thuật tinh thần. Nhưng hôm nay, anh không thể tự hào hơn về quyết định thuê cô. Nếu không có cô, tình hình hiện tại mà tất cả học sinh đều an toàn sẽ không xảy ra.



	“Hiệu trưởng, xin hãy cẩn thận.”



	Shirone nói với vẻ mặt lo lắng. Nếu là một Arcane cạn kiệt năng lượng, tôi nghĩ rằng Alpheus, một người chơi cấp 4 được chứng nhận, có thể xử lý được. Tuy nhiên, Arcane hiện tại chắc chắn đang ở trong tình trạng tốt nhất.



	Alpheus mỉm cười như thể anh đã biết trước điều đó.



	“Đừng lo lắng. Không có phép thuật nào vi phạm nguyên tắc trao đổi ngang giá cả.”



	“Nhưng Arcane chắc chắn có sức mạnh tinh thần…….”



	“Đúng, nó hẳn đã lành. Nhưng đó cũng là phép thuật.”



	"Ảo thuật?"



	“Ma thuật vực thẳm điều khiển trí nhớ. Nó được tạo ra bởi Arcane và là ma thuật mà Arcane giỏi nhất. Đúng không, Master?”



	Arcane khịt mũi.



	“Có vẻ không phải là chứng mất trí. Nhân tiện, loại ma thuật mà anh phải chịu đựng được gọi là Abyss Nova, không thể so sánh với nó. Tôi không cần phải nói gì về tác dụng của nó vì tôi đã tự mình trải nghiệm chúng.”



	“Đó là một phép thuật tuyệt vời. Thật tuyệt khi có thể nhớ lại những ký ức cũ.”



	“Đừng khoe khoang, sợ quá nên bỏ chạy mất rồi. Tôi cá là anh đang khóc.”



	"Ngươi nói đúng. Nhưng ngươi đã yếu đi rất nhiều kể từ lần cuối ta gặp ngươi, Master. Ngươi đang gặp khó khăn đến mức phải sử dụng Abyss Memory với những đứa trẻ nhỏ hơn ngươi 100 tuổi."



	Arcane không tức giận. Khi Alpheus bình tĩnh, anh ta bình tĩnh. Mối hận thù đã tích tụ trong bốn mươi năm không thể giải quyết chỉ bằng lời nói.



	Alpheus quay đầu về phía Sirone như thể đang tận hưởng sự bình yên trước cơn bão.



	“Shirone. Thi triển ma thuật đòi hỏi một khoảnh khắc tập trung cao độ. Giống như việc sử dụng hết thành quả của một giờ tập trung của một người bình thường trong một giây. Đó là lý do tại sao Arcane làm điều này.”



	Alpheus nói và gõ nhẹ vào thái dương bằng ngón trỏ.



	“Đó là thứ anh ta tự niệm lên đầu mình. Một câu thần chú xóa bỏ ký ức của anh ta.”



	"À…."



	Có một phương pháp như vậy. Nếu bạn xóa ký ức sử dụng não, sự mệt mỏi về mặt tinh thần sẽ biến mất. Tất nhiên, điều này chắc chắn sẽ gây ra tình trạng quá tải chức năng, nhưng nếu bạn làm điều đó một lần, bạn sẽ có thể phục hồi đủ sức mạnh tinh thần của mình.



	Alpheus hiểu cảm xúc của Sirone. Viltor Arcane. Anh là một pháp sư đã sống sót 100 năm trên chiến trường bằng cách sử dụng ma thuật đen không chính thống. Bất chấp những mối hận thù trong quá khứ, anh không còn lựa chọn nào khác ngoài việc thừa nhận kỹ năng của mình.



	“Đúng vậy. Đây là một kỹ thuật táo bạo và tuyệt vời. Arcane là một phù thủy sống trong một thế giới như vậy. Vì vậy, bạn cũng phải nhớ. Một người thậm chí không có một phương sách cuối cùng không thể được gọi là một phù thủy chiến đấu.”



	=======================================





Số 98





	Arcane tỏ vẻ không hài lòng.



	“Hừ. Ngươi khen ta, chó đi ngang qua đều sẽ cười.”



	“Ngươi không sao chứ? Cho dù tinh thần lực của ngươi đã khôi phục, nhưng chung quy cũng chỉ là ảo giác của não bộ, nếu ngươi nghĩ đến việc tăng thêm, ta không thể bảo đảm tính mạng của ngươi.”



	Không có bữa trưa miễn phí trong phép thuật. Sức mạnh tinh thần được phục hồi thông qua Abyss Memory là một sự trao đổi tương đương có nguy cơ gây tử vong não.



	“Vậy thì sao? Cuối cùng anh có định ngăn cản tôi không?”



	“Nếu anh lùi lại, chúng ta có thể kết thúc ở đây. Có lẽ đây là cơ hội cuối cùng của chúng ta. Đó là điều tôi có thể đề nghị vì mọi người vẫn an toàn. Nhưng nếu anh không thể từ bỏ nỗi ám ảnh của mình, anh sẽ phải trả giá.”



	“Kekekeke. Miệng lưỡi của anh lúc đó và bây giờ đều tuyệt đỉnh. Anh giả vờ quan tâm, nhưng cuối cùng, anh chỉ quan tâm đến bản thân mình. Anh nghĩ rằng nếu tôi từ chức, quá khứ của anh sẽ được che đậy sao? Đã quá muộn rồi. Mọi người ở đây, bao gồm cả những học sinh bị Abyss Nova tấn công, đều mở to mắt, vì vậy anh sẽ không còn là hiệu trưởng nữa.”



	Shirone quay đầu nhìn những học sinh đã mất đi ký ức. Nếu ma thuật biến mất, mọi thứ xảy ra ở đây sẽ chỉ còn là ký ức. Cho dù trận chiến có kết thúc an toàn thì cũng không phải là vấn đề lớn.



	“Ha ha! Ngươi rốt cuộc hiểu rõ tình hình rồi sao? Giết sạch bọn họ ở đây thì sao? Như vậy ta nguyện ý gánh chịu trách nhiệm.”



	Alpheus hơi nhếch khóe môi.



	“Đùa thôi.”



	“Vậy thì sao ngươi không đi cùng ta? Ta là người cho ngươi một cơ hội cuối cùng. Ngươi không phải nên tiếp tục di sản của Erina sao? Bây giờ, hãy nhìn xem. Những thành quả ta đã đạt được. Sinh vật ma thuật Harvest!”



	Shirone và những người khác nhìn lại nơi Arcane chỉ. Harvest nằm trên sàn, trải ra như một miếng giẻ rách.



	“……Ừm, trông có vẻ tệ hơn một chút. Dù sao thì, thí nghiệm đã thành công. Nếu anh giúp tôi, tôi sẽ có thể đạt được kết quả thậm chí còn lớn hơn. Và đó chính xác là điều Erina thực sự muốn.”



	Một luồng sáng lạnh lẽo hiện lên trong mắt Alpheus khi anh nghe thấy tên Erina.



	“Chủ nhân, xin hãy tỉnh táo lại.”



	Arcane cuối cùng cũng lộ ra bộ mặt thật của mình. Họ đang có một cuộc trò chuyện ngớ ngẩn, nhưng thực tế, tất cả chỉ là những lời vô nghĩa. Đó là một mối quan hệ tồi tệ không có ý định đi cùng nhau ngay từ đầu.



	"Ông nghĩ ông có thể thắng được tôi sao, Hiệu trưởng? Điều đó thậm chí còn chẳng buồn cười. Ông luôn tỏ ra thông minh nhưng lại đưa ra những quyết định ngu ngốc, Alpheus."



	Sức mạnh đen tối lan tỏa khắp không khí lại tụ lại thành hình nắm đấm. Alpheus cũng từ từ giơ cả hai tay lên và chuẩn bị niệm phép.



	“Không, điều này đúng. Một phán đoán ngu ngốc là đủ rồi.”



	Alpheus nén photon giữa lòng bàn tay. Arcane khịt mũi tỏ vẻ không hài lòng khi nhìn thấy photon mà bất kỳ phù thủy ánh sáng nào cũng có thể tạo ra.



	"Ngươi nghĩ ngươi có thể ngăn cản ta bằng thứ như thế sao? Ngươi đã yếu đi rồi, Alpheus."



	“Bạn sẽ không biết cho đến khi bạn thử.”



	“Haha! Không phải đó là điều mà anh ghét nhất sao? Alpheus, người luôn nói rằng anh phải biết trước khi thử, đã đi đâu rồi?”



	“Phù thủy là người sống ở tương lai, tuy rằng ta đã mất súng, nhưng ta cũng không già đến vậy. Ngươi cho là ta không tính toán ngươi 40 năm sao?”



	“Ồ. Anh đã dự đoán được ngày này sao? Vậy là anh chỉ chuẩn bị một đầu ra photon thôi sao?”



	“Chúng ta hãy kết thúc ở đây thôi.”



	Alpheus giơ cả hai tay lên trời. Các photon giữa lòng bàn tay của anh ta nén lại thành một kích thước nhỏ hơn cả bụi. Cùng lúc đó, Arcane vung nắm đấm của mình. Một sức mạnh đen tối to lớn đổ xuống mặt đất. Đây là kết thúc. Đó là một đòn giáng xuống tất cả sự tức giận của 40 năm.



	Shirone và nhóm của anh ta nhìn chằm chằm vào sức mạnh bóng tối đang rơi xuống với tốc độ đáng kinh ngạc. Khi họ thực sự nhìn thấy nó ở cự ly gần, nó lớn hơn nhiều so với những gì họ mong đợi.



	Hai tay của Alpheus chậm rãi hạ xuống, hai cánh tay của hắn chuyển động như nước chảy, sau đó bắt đầu phân thành hàng chục tàn ảnh, ánh mắt của những người đang xem tràn đầy vẻ kinh ngạc.



	'Gì?'



	Tàn ảnh của Alpheus di chuyển cực kỳ chậm chạp. Các photon nén trong lòng bàn tay anh ta biến mất trong nháy mắt. Trong khi đó, sức mạnh của bóng tối thậm chí còn chưa đạt đến một nửa khoảng cách.



	Shirone không thể cử động một đầu ngón tay. Không, thậm chí không thể thở. Thời gian trôi qua chậm chạp. Chỉ có một giọt photon nhỏ hơn một hạt bụi đang di chuyển với tốc độ ánh sáng.



	Photon bị chìm vào bóng tối lớn. Những gợn sóng nổi lên như sóng từ từ di chuyển ra xa, tăng dần biên độ khi thời gian chậm lại.



	Và khoảnh khắc tiếp theo.



	Nhấp nháy!



	Có một vụ nổ ánh sáng mạnh mẽ biến thế giới thành một trang giấy trắng.



	Sức mạnh của bóng tối lan tỏa, xé toạc. Ánh sáng lan tỏa khắp trường học ma thuật yếu dần từ trung tâm và biến mất thành hình chiếc nhẫn.



	Khi thời gian trở lại bình thường, Shirone và những người khác nhìn lên bầu trời với vẻ mặt hoang mang. Một vầng trăng nhợt nhạt đang trôi nổi trên bầu trời đêm nơi mà ngay cả những đám mây cũng đã biến mất.



	'Đây là loại phép thuật gì vậy?'



	Nó không phải là sức mạnh vật lý như Pháo Photon hay sức mạnh lâu dài như Shining. Nó là một loại ma thuật được tạo ra để làm bùng nổ ánh sáng mạnh nhất trong một tích tắc.



	Ấn tượng của Arcane đã bị bóp méo.



	“Alpheus…….”



	“Đó là phép thuật của Big Bang. Thật ngại khi mang nó đến hiệp hội, nhưng tôi nghĩ nó đủ để làm quà chia tay.”



	“Chắc chắn… anh ấy không chỉ bỏ trốn trong 40 năm.”



	Arcane nhận ra kế hoạch của Alpheus. Đó không phải là phép thuật được phát triển để chống lại ma thuật đen tối. Cũng không phải là để vượt qua anh ta.



	Alpheus đã nghiên cứu Vụ nổ lớn trong 40 năm, chỉ tập trung vào khoảnh khắc này, tình huống này.



	“Với anh thì thế là khá tốt rồi.”



	Hai đầu gối của Arcane đập xuống đất với một tiếng động lớn. Dư chấn của Ký ức Vực thẳm đã làm suy yếu nghiêm trọng chức năng não của anh ta.



	“Nghe hay đấy, Alpheus. Cược năm mươi năm của anh đã được đền đáp. Anh đã đánh bại Arcane vĩ đại nhất thế giới, nên danh tiếng của anh sẽ tăng cao. Anh có muốn trở thành phù thủy vĩ đại trong mơ của mình không?”



	Alpheus lắc đầu. Ngay cả trong những khoảnh khắc như thế này, tinh thần cạnh tranh ám ảnh về sự vượt trội. Mặc dù anh biết rằng đây là động lực tạo nên Arcane ngày nay, nhưng mặt khác anh lại cảm thấy tiếc cho nó.



	“Chủ nhân, ngài không còn là Đại Pháp Sư nữa. Đã 50 năm kể từ khi ngài được gọi như vậy. Thời gian quá đủ để một tân binh lớp 10 trở thành Đại Pháp Sư lớp 2. Thời đại của chúng ta đã kết thúc. Thế giới đã thay đổi, và chúng ta đã quá già để có tham vọng. Làm sao ngài không biết điều đó?”



	Một đường gân nổi lên trên thái dương của Arcane. Mặc dù bị đánh bại, nhưng ông ta vẫn sống đủ lâu để bị đệ tử mắng, nên đó không phải là điều tệ hại.



	“Tại sao ngươi lại nghĩ mình là Alpheus kiêu ngạo? Ngươi nghĩ mình đã vô tình vướng vào một sự kiện không may nào đó. Ta sẽ nói cho ngươi biết sự thật. Ngươi không phải là thiên tài. Ngươi chỉ là một phù thủy nghèo chạy trốn khỏi bất hạnh.”



	Arcane đứng dậy, duỗi thẳng đôi chân đang run rẩy của mình.



	“Anh già rồi sao? Tôi đã trở thành một phù thủy vĩ đại ở độ tuổi của anh rồi. Tại sao anh không thành thật đi? Tôi không tự tin. Anh đang viện cớ vì anh không có tự tin để tiến xa hơn, đúng không?”



	“Không chỉ là leo trèo. Khi con lớn lên, con nên tự suy ngẫm về bản thân mình. Nhưng ngay cả bây giờ, Sư phụ, con cũng không khác gì một đứa trẻ chỉ theo đuổi những tham vọng ngọt ngào.”



	“Hahahaha! Alpheus ngốc nghếch! Ngươi sợ cái gì chứ? Hãy lùi lại một bước và xem nào. Trên đời này không có thứ gì gọi là mệnh lệnh cả!”



	Một luồng năng lượng khủng khiếp lại bùng nổ từ cơ thể Arcane một lần nữa. Alpheus mở mắt ngạc nhiên khi nhận ra rằng ký ức của mình đã bị xóa đi một lần nữa bằng phép thuật Abyss. Một ký ức Abyss có thể chịu đựng được bộ não của anh, nhưng ký ức thứ hai gần như chắc chắn sẽ dẫn đến cái chết.



	"Ông già ngu ngốc kia! Ông quyết định chết sao?"



	Arcane đáp lại bằng một nụ cười khẩy và tung ra sức mạnh đen tối của mình. Những cái bóng dưới chân anh ta mở rộng ra để bao phủ bồn rửa, nâng những học sinh đã mất trí nhớ lên không trung và di chuyển chúng đến vách đá.



	Lần này, ngay cả Alpheus cũng không khỏi sợ hãi.



	“Dừng lại! Đây chỉ là giết chóc vô nghĩa! Điều này sẽ để lại cho anh điều gì?”



	“Sự hài lòng của người chiến thắng vẫn còn.”



	“Thật là ngu ngốc! Đến tuổi này rồi mà vẫn muốn thắng! Ngươi cho rằng mình mãi mãi là con trai sao?”



	“Alpheus ngốc nghếch. Hãy nghe cho kỹ.”



	Trong những giây phút cuối cùng, Arcane nói với nụ cười tự tin.



	“Phù thủy là… một cậu bé bất tử.”



	400 người bị sức mạnh bóng tối bắt giữ đã được nhấc ra khỏi vách đá như thể họ đang bị xúc lên bằng một cái xô. Alpheus không thể hiểu được. Làm sao anh ta có thể sử dụng sức mạnh tinh thần mà anh ta có được bằng cách đánh đổi mạng sống của mình cho một điều ngu ngốc như vậy?



	'Điều gì trên đời này khiến bạn cảm động? Niềm tin không lay chuyển này có thể mang lại cho bạn điều gì?'



	Dù sao thì bây giờ cũng không phải lúc lo lắng về Arcane. Alpheus, người đã dồn hết năng lượng vào phép thuật Big Bang, vội vã nhìn quanh và hét lên.



	“Cứu các em học sinh!”



	Ngay khi lệnh được đưa ra, THAAD biến thành một tia sáng và bay đi. Shirone theo sau, rồi Nade và Iruki cũng niệm phép dịch chuyển đến vách đá. Có tới 400 người. Dù sao thì họ cũng không thể cứu tất cả mọi người. Nhưng tình hình quá tệ đến nỗi ngay cả một suy nghĩ như vậy cũng là một điều xa xỉ.



	Sad, người đã đi xuống giữa vách đá, tạo ra một bức tường không khí bằng phép thuật không khí. Tuy nhiên, vì anh ta phải tạo ra một bức tường dày ít nhất 50 mét vuông, nên độ dày phải mỏng.



	Cuối cùng, một lỗ hổng được đục ở phần yếu của công trình khiến học sinh phải đổ xuống.



	Bên dưới THAAD, Iruki và Naid đã hoạt động. Tuy nhiên, đã quá muộn để xoay chuyển tình hình. Nước mắt tôi trào ra khi tôi nhìn thấy mọi người từ trẻ em đến những người cao tuổi sắp tốt nghiệp lần lượt ngã xuống.



	“Mẹ kiếp! Mẹ kiếp, mẹ kiếp!”



	Iruki nhìn lên bầu trời qua tầm nhìn mơ hồ của mình. Những ngôi sao trên bầu trời đêm lấp lánh, và một tia sáng duy nhất chiếu xuống theo chiều thẳng đứng.



	“Shirone!”



	Ánh chớp tiếp tục hướng xuống dưới, thậm chí còn lướt qua Iruki. Một cô gái tóc đỏ lọt vào mắt Shirone khi cô ấy di chuyển với tốc độ cao.



	“Amy!”



	Amy quay mắt lại khi nghe thấy giọng nói của Shirone. Vì đây là phản ứng không thể xảy ra khi chịu tác dụng của Abyss Nova, Shirone lại hét lên với một tia hy vọng.



	“Amy! Đi nào!”



	'tinh thần?'



	Con người là những sinh vật biết suy nghĩ. Không suy nghĩ còn khó hơn là suy nghĩ. Tuy nhiên, nếu bạn bị Abyss Nova, thứ chặn ký ức của bạn, thì nguồn gốc của chính suy nghĩ của bạn sẽ không được cung cấp.



	“Amy! Amy!”



	Tuy nhiên, Amy vẫn có thể suy nghĩ.



	Bởi vì cô ấy là Amy của gia đình Karmis.



	“Amy! Đi nào!”



	'Thật khó chịu. Làm ơn đừng làm thế.'



	“Là tôi đây! Tôi là Shirone!”



	'Shirone?'



	Nó có nghĩa là gì? Đó là một từ mà cô không biết. Nhưng Amy không thể buông bỏ những từ ba âm tiết cứ làm nhột não cô.



	'Nó là gì, nó là gì? Nó là gì? Tôi thực sự tò mò.'



	Amy tiếp tục suy nghĩ. Dòng điện lan truyền khắp vỏ não của cô, tìm kiếm thông tin. Cuối cùng, một mô hình lóe lên và ý nghĩa của Shirone tràn vào cơ thể cô.



	'Ồ, đúng rồi. Shirone! Là Shirone đấy.'



	Amy thở dài, như thể cô ấy nghĩ rằng mình sắp chết vì đau đớn. Cùng lúc đó, đôi mắt cô ấy đỏ rực và sức mạnh Hongan của cô ấy được kích hoạt. Abyss Nova bùng cháy trong nháy mắt và ký ức ùa về như lũ.



	'Thật là ngốc! Tôi đang làm gì thế này?'



	Đặc điểm đặc biệt của cô là đôi mắt đỏ. Theo thuật ngữ học thuật, nó được gọi là trí nhớ hình ảnh bản thân.



	Những người thuộc gia tộc Karmis có thể quay trở lại một thời điểm cụ thể khi đôi mắt đỏ xuất hiện.



	Ví dụ, có thể lưu trữ hành động giơ kiếm chém, và lặp lại hành động đó vô hạn lần mà không có lỗi. Hơn nữa, vì là một phạm vi cảm xúc giống như một sơ đồ, nên việc sửa lỗi cũng diễn ra ngay lập tức.



	Câu nói nổi tiếng “Một sai lầm là nền tảng cho sự tiến bộ, hai sai lầm là nỗi nhục của gia đình” thực sự đã thể hiện sự tự tin của họ.



	'Chuyện gì thế? Tình hình hiện tại thế nào?'



	Amy đã phân tích lỗi ở cấp độ thần kinh dựa trên trí nhớ hình ảnh bản thân của cô ấy. Cô ấy hiện đang chịu ảnh hưởng của gia tốc trọng trường. Trọng tâm cơ thể cô ấy nghiêng 87,6 độ và nhịp tim của cô ấy nhanh hơn 1,6 lần.



	'Nó đang rơi.'



	Tôi thực sự không có bất kỳ phàn nàn nào về điều đó. Tôi thấy Shirone lao xuống trong nháy mắt. Tôi nhớ lại những gì tôi đã làm với anh ấy. Làm sao tôi có thể quên Shirone?



	=======================================





Số 99





	'Giống như một thằng ngốc... ... thực sự giống như một thằng ngốc... ... !'



	Anh ta tiến đến gần cô trước, đưa cho cô cốc cà phê, nhưng cô hất tay anh ta ra. Amy nhắm chặt mắt lại như thể đang quay lưng lại với cảnh tượng đầy hối tiếc. Và cô hét lên hết sức mình.



	“Shirone!”



	Shirone mỉm cười. May mắn thay, Amy đã lấy lại được ký ức của mình. Ít nhất là trong khoảnh khắc cuối cùng, cô có thể rời đi với tư cách là Shirone, vẫn được ai đó nhớ đến.



	“Cảm ơn, Amy.”



	Nước mắt của Shirone rơi trên má Amy.



	'Sao con lại khóc, Shirone?'



	Amy cảm thấy bất an. Có điều gì đó không ổn. Sau đó, khi cô nhìn thấy ý chí sống dần biến mất khỏi mắt Shirone, cô nhận ra.



	"Shirone! Không!"



	“Tôi xin lỗi. Tôi không thể giữ lời hứa của mình.”



	Sirone, người đã ôm Amy, đã hoàn toàn mở ra chức năng bất tử của cô. Khi ý thức của cô mở rộng vô hạn, bản ngã của cô bắt đầu tan biến như nước.



	'Xin chào tất cả mọi người… … .'



	Cha, mẹ, gia đình Ozent, bạn bè ở trường. Shirone có thể mỉm cười vì cô nhận được tình yêu thương từ rất nhiều người. Một luồng sáng lớn tràn ngập khu vực bên dưới vách đá. Những học sinh đang rơi xuống, Iruki, Naid và thậm chí cả Sade đều bị ánh sáng nhấn chìm và biến mất.



	Khoảnh khắc tiếp theo, một tia sáng lớn lao thẳng lên trên.



	Đó là một dịch chuyển tức thời có thể di chuyển tới 400 người cùng một lúc.



	'À, tôi hiểu rồi.'



	Nằm trên mặt đất, Arcane nhìn tia sáng bắn lên vách đá và phân tán thành hàng chục nhánh cây. Chỉ đến phút cuối cùng, anh mới nhận ra mình đang ở đâu. Và anh đã sống một cuộc sống tuyệt vời biết bao.



	'Đó là sân chơi mà cả đời con sẽ phải hối hận khi chơi ở đó. Đúng không, Alpheus?'



	Vị phù thủy vĩ đại huyền thoại đã làm cả thế giới chao đảo đã qua đời.



	"Bậc thầy?"



	Kanis ngẩn người trước xác chết của Arcane. Không phải anh vẫn là đệ tử của ông sao? Tuy nhiên, anh ta đã rời đi mà không để lại di chúc, chỉ làm những gì anh ta muốn làm cho đến cuối cùng.



	“Thật sự chẳng có gì sao? Chúng ta chỉ là công cụ thôi sao?”



	Canis chạy đến chỗ Arcane và lắc mạnh cổ áo hắn.



	“Đứng dậy! Sao lại thế này! Sao không để tôi chết luôn đi! Sao lại bỏ tôi lại?”



	Arin tiến về phía Canis với đôi mắt buồn bã. Hình ảnh của anh trong gương là một hình người được tạo nên từ chất lỏng giống như bùn nhão. Hình ảnh đó không bao giờ đứng yên, lan ra như chất lỏng rồi lại trồi lên thành hình người.



	“Không, Canis. Hắn không chết vì anh. Hắn lợi dụng chúng ta. Hắn là kẻ phản diện vĩ đại nhất trên thế giới.”



	“Kukuk, ý anh là gì? Tôi đoán là anh vừa mới nhận ra điều đó.”



	Harvest nói bằng giọng khó hiểu.



	“Đúng vậy, Canis. Tất cả bọn họ đều chết vì anh. Arcane, tôi, và một ngày nào đó Arin cũng vậy.”



	Arin vẫn trừng mắt nhìn Harvest, vội vàng quay đầu nhìn Canis. Quả nhiên, hình người kia đã bị sốc đến mức ngã xuống, dính chặt trên mặt đất, tan thành một khối nước dày đặc.



	“Tại sao? Tôi đã làm gì? Bởi vì tôi sống ở Radum? Bởi vì tôi là một đứa trẻ kém may mắn?”



	“Bởi vì tôi yếu đuối.”



	Kết luận của Harvest rất đơn giản.



