Số 248





	Sự im lặng bao trùm nơi cơn gió đã đi qua.



	Nhưng đây là con số hai nghìn và Dante vẫn đang đứng.



	Ngay cả khi tỷ lệ đồng bộ hóa là 50%, nếu áp dụng phép thuật phản ma thuật, việc mất đi ý thức cũng là điều bình thường.



	Có thể hai nghìn hệ thống đã ngừng hoạt động trước khi cú sốc xảy ra. Nếu đúng như vậy, thì việc chọn ra người chiến thắng và kẻ thua cuộc sẽ trở nên hơi khó khăn.



	Vì đây là cuộc ẩu đả giữa các học sinh trong trường nên có khả năng cao là khoa sẽ kết thúc vụ việc bằng một kết quả hòa đẹp mắt.



	Nhưng đó không phải là điều mà bạn bè của Shirone, hay những học sinh đã theo dõi trận chiến cho đến lúc này, mong muốn.



	Sirone và Dante đã có một trận đấu đi vào lịch sử.



	Có thể là ích kỷ, nhưng những sinh viên ở đó hy vọng rằng ký ức của họ sẽ đi đến một kết luận chắc chắn.



	Shirone trừng mắt nhìn Dante trong khi thở hổn hển. Khi Icheonbyeon đã đi, cô không thể làm gì khác ngoài việc nhìn, nhưng thực tế là cô đã quá kiệt sức để làm bất cứ điều gì ngoài việc thở.



	"haha…."



	Dante cười khẽ. Nhưng anh quá mệt mỏi để nói. Anh cố gắng bước đi một cách khó khăn, nhưng cuối cùng dừng lại sau khi đi được ba bước.



	Giọng nói của anh ta rỉ ra từ giữa đôi môi hơi hé mở.



	"Bạn……."



	Lúc này, máu từ mũi Dante chảy ra, sau đó, đôi mắt của hắn dần dần mất đi sinh mệnh, hắn ngã xuống đất, cùng một tư thế như một cái cây lớn bị đổ.



	Iruki nói với giọng run rẩy.



	“Nó đã vào. Antimagic đã vào trước khi hệ thống tắt.”



	Giọng nói của Iruki tuy nhỏ nhưng vẫn truyền qua đầu các học sinh như thể thông qua thần giao cách cảm.



	“Bạn có chắc không? Dante là người thật, đúng không?”



	“Tôi nghĩ vậy sao? Dante… Dante đã thua.”



	Lúc này, như bị thôi miên hàng loạt, tất cả học sinh đều đứng dậy, hoan hô, sóng âm hòa vào nhau, không khí trong phòng rung động dữ dội.



	“Shirone đã thắng! Shirone đã đánh bại Dante, người giỏi nhất vương quốc!”



	Mark gần như tỉnh lại sau khi bay đến tận cùng bầu trời. Nghe thấy tiếng kêu của học sinh, anh cảm thấy sự căng thẳng của mình dịu đi, nhưng rồi một cảm xúc khác lại đập mạnh trong lồng ngực.



	Đó là khoảnh khắc Shirone vươn lên trở thành ngôi sao vĩ đại nhất của vương quốc.



	“Ahhhh! Shirone lão đại thắng rồi! Giờ thì biết ai là người giỏi nhất rồi đúng không? Hả? Nào! Nếu còn ai muốn thách đấu nữa thì đến đây!”



	Mark phấn khích như thể anh đã chiến thắng. Những người bạn của Dante ngồi ngay cạnh anh với vẻ mặt lạnh lùng, nhưng adrenaline đang dâng cao và mọi suy nghĩ nhỏ nhen đã bị lãng quên từ lâu.



	Killain lẩm bẩm như thể đang mơ.



	“Ôi trời ơi……. Dante…….”



	Đó là một kết quả không thể tin được. Nhưng cảnh tượng Dante vùi mặt vào khối vật lý lạnh lẽo là một sự thật không thể chối cãi.



	473 trận đấu, 472 trận thắng.



	Và 1 trận thua.



	Đây là thất bại đầu tiên của Dante kể từ khi bước vào thế giới phép thuật và cũng là kết thúc chuỗi mười năm bất bại của anh.



	Olivia vẫn ngồi trên ghế với vẻ mặt bình tĩnh, chìm đắm trong tiếng reo hò của học sinh đến từ khắp mọi hướng.



	Dante lo lắng nhưng vẫn phải giữ thái độ trung lập.



	Shiina nhìn Dante và ra hiệu cho anh biết anh vẫn ổn. Chỉ đến lúc đó, một tiếng thở dài nhỏ mới thoát ra khỏi đôi môi cô.



	'Dante thua rồi.'



	Tôi chưa bao giờ nghi ngờ chiến thắng của Dante, nhưng kỳ lạ thay, khi anh ấy thực sự thua, tôi lại không cảm thấy bất kỳ sự xáo trộn cảm xúc nào.



	Có lẽ là vì nó vẫn chưa có vẻ thực tế, nhưng đó là một cuộc đối đầu đáng kinh ngạc đến mức tôi cảm thấy điều đó là không thể tránh khỏi.



	'Tôi phải thừa nhận điều đó. Dante đã cố gắng hết sức. Shirone mạnh hơn. Chỉ vậy thôi. Nhưng... ... .'



	Ma thuật mà Shirone thi triển ở cuối. Sức mạnh của ma thuật đó là gì vậy? Xét theo tính khí, rõ ràng đó là chuyên môn của Shirone, Pháo Photon.



	Nhưng tôi có thể đảm bảo với bạn rằng đó chắc chắn không phải là pháo photon.



	Ngay cả đối với một người chuyên về phép thuật ngôn từ, đó là một sức mạnh chỉ có thể được giải phóng nếu anh ta có quyết tâm thực hiện. Không, ngay cả khi bỏ qua sức mạnh, vấn đề là sức mạnh khuếch đại vượt quá lẽ thường. Ngay cả anh ta cũng không thể nâng sức mạnh của một khẩu pháo photon cấp độ học viên lên thành một pháp sư vĩ đại.



	Olivia quay lại nhìn Alpheus. Đúng như dự đoán, anh ta không nói gì, rõ ràng là anh ta đã biết ngay từ đầu.



	Có phải lý do tôi mong chờ trận chiến với Dante cũng là vì tôi muốn thấy một phép màu xảy ra với xác suất rất nhỏ? Giống như một cậu bé xoa tay trước một món đồ chơi thú vị.



	'Anh giống như một con rắn vậy. Anh đã ăn hết tôi rồi, đúng không?'



	Olivia nghiến răng với vẻ mặt phẫn nộ. Tuy nhiên, Alpheus, người nghĩ rằng cô ấy sẽ nói đùa, đã ngậm miệng lại trong một thời gian dài và không thoát khỏi suy nghĩ của mình.



	'Nó mạnh đến thế sao?'



	Ataraxia khuếch đại siêu mạnh.



	Tôi đã phần nào mong đợi điều đó sau khi nghe câu chuyện dũng cảm của Shirone, nhưng tận mắt chứng kiến lại khác với việc nghe kể lại.



	Trên hết, đó là một cuộc đối đầu do Hiệp hội Giáo viên Vương quốc tổ chức. Một phóng viên đặc biệt đã đến và thậm chí còn mang theo một thiết bị ghi hình.



	Đến lúc này, nhà vua không còn cách nào khác là phải hành động.



	=======================================





Số 255





	Nếu họ có Ataraxia, danh tiếng của Trường Ma thuật Alpheus sẽ tăng lên ngay lập tức. Hơn nữa, nếu họ mượn sức mạnh của Olivia, có thể phá hủy thành trì của Trường Ma thuật Hoàng gia.



	Alpheus, người đã nghĩ về điều đó cho đến thời điểm đó, nhẹ nhàng nói.



	“THAAD.”



	THAAD tiến lại gần và cúi đầu.



	“Vâng, thưa chủ nhân.”



	“Lấy ngay hai ngàn hộp đen. Đừng đưa cho bất kỳ ai. Và phá hủy chúng trước mặt Shirone. Đảm bảo Shirone xác nhận rằng chúng đã bị phá hủy.”



	"Được rồi."



	Sade trả lời mà không nói một lời và gật đầu.



	Chiếc vòng tay của anh ta cũng bị vỡ quả cầu pha lê.



	Vì đây là điều chưa từng xảy ra trong quá trình quản lý hai nghìn lần nên tôi có cảm giác tình hình có thể trở nên nghiêm trọng hơn dự kiến.



	Tất nhiên, khi vụ việc ngày càng lớn hơn, tên tuổi của ngôi trường sẽ được biết đến, nhưng nếu đó là chỉ thị của Alpheus, thì không cần phải nghĩ đến chuyện cá nhân nữa.



	Ánh mắt dữ tợn của Olivia chuyển sang vẻ bối rối.



	Tôi đã biết từ lâu rằng anh là người có tính cách kiên định, nhưng tôi không biết anh lại đưa ra quyết định cứng rắn như vậy.



	“Ngươi không sao chứ? Hộp đen chứa đựng toàn bộ thông tin về trận chiến này. Không chỉ có Pascal của Dante, còn có vòng tròn ma thuật của Sirone. Nếu ngươi có thể sao chép nó, thì sẽ rất có ích. Cho dù vương quốc có bảo vệ được nó, thì cũng phải tốn một khoản tiền lớn để lấy nó.”



	Olivia cố gắng lén nhìn vào, nhưng Alpheus thậm chí còn không thèm nghĩ tới điều đó.



	“Là của Shirone. Không ai được phép truy cập thông tin nếu không có sự cho phép của Shirone.”



	“Shirone có thể cho phép. Hãy suy nghĩ cẩn thận. Đây là quyết định có thể giúp trường cũ của bạn thịnh vượng, và trên hết, đó là đóng góp cho cộng đồng ma thuật. Shirone cũng được hưởng lợi từ thành tựu của nhiều pháp sư thiên tài.”



	Lời của Olivia cũng đúng. Nếu không có những hy sinh, thử thách, nỗ lực và tài năng cao quý được truyền từ thế hệ này sang thế hệ khác, phép thuật của nhân loại sẽ không phát triển đến mức này.



	Đó là lý do tại sao Alpheus cũng nộp một bài báo về lý thuyết lượng tử đã cách mạng hóa phép thuật photon như một sự tri ân đối với đất nước.



	Nhưng suy nghĩ của Alpheus vẫn không thay đổi.



	“Chỉ cần Shirone còn sống, ngươi có thể tùy ý lựa chọn. Nhưng không phải bây giờ. Ngươi có thể tự quyết định khi ngươi thực sự cảm thấy cần thiết. Nếu ngươi đưa ra lựa chọn theo cách này, thì cũng chẳng khác gì ép buộc ngươi.”



	Olivia lè lưỡi. Cô ấy là người giỏi nhất về sự cổ điển, cả trước đây và bây giờ.



	'Ờ... ...đó là lý do tại sao tôi thích nó.'



	Cuộc thi đã kết thúc nhưng không có học sinh nào rời đi.



	Điểm nhấn của cuộc đấu này là chứng kiến Dante quỳ gối trước Sirone.



	Tuy nhiên, Dante, người đã bị đánh bại, gặp khó khăn khi mở mắt ngay cả với phép thuật phục hồi của giáo viên.



	Sabina lắc đầu và nức nở.



	“Dante thua rồi. Không, chuyện này không thể xảy ra được. Anh ta đã đánh bại rất nhiều đối thủ mạnh cho đến nay, nhưng kỷ lục bất bại của anh ta không thể bị phá vỡ ở một trường học nông thôn như thế này.”



	"Sabina, bình tĩnh nào. Bây giờ, chúng ta chỉ hy vọng Dante được an toàn thôi."



	Closer nắm lấy vai Sabina và cố gắng trấn an cô. Nhưng Sabina, đã quá xúc động, không thể chấp nhận thực tế.



	Trong cuộc sống không có những ngày như thế sao? Những ngày mà những biến số không thể mong đợi từ lẽ thường cứ liên tục xảy ra và mọi thứ trở nên tồi tệ.



	Hôm nay là một ngày như thế đối với Dante.



	“Dante là bất khả chiến bại! Anh ta thậm chí còn có tỷ lệ đồng bộ 50% nữa. Anh ta thậm chí còn chiến đấu ở Học viện Ma thuật Hoàng gia với tỷ lệ đồng bộ 100%! Không đời nào anh ta có thể thua một tên nhà quê như vậy!”



	“Được rồi, dù sao thì đây cũng chỉ là mô phỏng thôi.”



	Sabina đột ngột quay đầu lại khi nghe thấy lời nói của Canis.



	"Gì?"



	"Dante chưa bao giờ chiến đấu với người khổng lồ. Ngay cả một thiên thần cũng không."



	“Ngươi đang nói cái gì vậy? Việc chế giễu Dante là không thể chấp nhận được!”



	"Bạn đã bao giờ chiến đấu với một kẻ thù mà bạn hoàn toàn không thể đánh bại, mạo hiểm mạng sống của mình chưa? Không quan trọng nếu bạn chiến đấu với chúng hai nghìn lần hoặc nếu bạn đồng bộ 100%. Đó không phải là chiến đấu thực sự."



	Sabina nghiến răng.



	Amy tiếp tục.



	“Dante không biết cách chiến đấu trong cuộc sống thực. Tất nhiên, anh ta có đủ kỹ năng để có ích trong cuộc sống thực. Tuy nhiên, Shirone luôn mạo hiểm mạng sống của mình để đạt đến mức này.”



	Canis gật đầu.



	“Hai ngàn lần. Giống như chiến đấu thực sự. Nhưng không phải là chiến đấu thực sự. Những thứ như thế không vui lắm. Bạn có biết cảm giác mạo hiểm mạng sống của mình là như thế nào không? Khi bạn đứng trên ranh giới giữa sự sống và cái chết, suy nghĩ của bạn dừng lại và điều duy nhất bạn có thể nghĩ đến là muốn sống. Trong tình huống đó, bằng cách nào đó duy trì được lý trí và chiến đấu, đó mới là chiến đấu thực sự.”



	Sabina rên rỉ như một đứa trẻ. Bị Nade hành hình, cô có thể hiểu Kanis đang nói gì.



	Nhưng họ không biết Dante đã chiến đấu với quyết tâm như thế nào.



	Kể cả khi bạn coi nó là trò chơi mô phỏng và chế giễu nó là trò chơi duy nhất có thể chiến thắng thì vẫn có một điều không bao giờ thay đổi.



	Đối với Dante, cuộc đấu thứ hai nghìn chính là toàn bộ cuộc đời anh.



	Nước mắt trào ra trong mắt Sabina.



	“Không. Đó không phải là điều tôi muốn nói. Dante… Dante thực sự đã chiến đấu bằng cả mạng sống của mình.”



	Mọi người im lặng một lúc. Bạn bè của Shirone cũng không muốn chế giễu Dante và bạn bè của cậu vào lúc này.



	Không, thành thật mà nói, cơn giận dữ mà họ đã bùng phát suốt một học kỳ không thể nào nguôi ngoai được vì điều này.



	Nhưng Dante rất mạnh. Thật vui khi có anh ấy là đồng chí cùng chiến đấu trên cùng một chiến tuyến. Mặc dù anh ấy thua Shirone, nhưng cuối cùng anh ấy đã cứu vãn thể diện cho bạn bè và ngã xuống.



	Sau một lúc ngượng ngùng, cuối cùng Dante cũng tỉnh táo lại.



	Những học sinh đang bàn tán xôn xao đều im lặng và quay đầu về phía Icheonbeon.



	Sabina và Closer thật đáng thương. Tôi ước gì họ cứ bất tỉnh suốt cả ngày, nhưng vấn đề là học sinh có khả năng phòng thủ mạnh nhất cũng có tốc độ hồi phục nhanh.



	Khi Shirone đến gần, các học sinh nín thở. Dante khó khăn ngước nhìn Shirone, rồi lại cúi đầu xuống như thể không thể làm được nữa. Sau đó, anh bắt đầu lẩm bẩm điều gì đó với chính mình.



	Shirone im lặng chờ đợi.



	Cuối cùng Dante ngừng lẩm bẩm và ngẩng đầu lên.



	Không còn trao đổi thông tin nữa. Có người thắng và kẻ thua, và tất cả những gì còn lại là thu thập chiến lợi phẩm.



	“Giết hắn đi.”



	Dante đã đưa ra một tuyên bố gây sốc.



	Shirone vẫn im lặng và trừng mắt nhìn Dante.



	Có tiếng ồn ào ở đây và ở đó. Tôi không bao giờ nghĩ rằng có người thà chết chứ không chịu quỳ xuống.



	Có tin đồn rằng ông chưa trưởng thành, cư xử vô lý và thiếu nam tính.



	Nhưng Sabina biết. Lời nói của Dante không hề xa vời hay trẻ con.





	- Tôi sẽ trở thành phù thủy giỏi nhất. Để làm được điều đó, tôi phải luyện tập như thật hai nghìn lần.



	- Nhưng Dante, dù vậy, hai ngàn lần cũng chỉ là mô phỏng. Có phán đoán, và chắc chắn sẽ khác với chiến đấu thực tế.





	Sabina không thể quên những gì Dante đã nói lúc đó.





	- Đúng vậy. Nhưng tôi không thể trở thành một pháp sư vĩ đại bằng cách luyện tập như những học viên khác. Đó là lý do tại sao tôi quyết định. Nếu tôi thua trong trận chiến thứ hai nghìn, điều đó có nghĩa là tôi sẽ chết.





	Tất nhiên là lúc đó tôi còn trẻ.



	Sabina cũng nghĩ rằng đó chỉ là quyết tâm chuẩn bị tinh thần trước trận đấu.



	Nhưng theo thời gian, tôi đã biết được tình cảm thực sự của Dante.



	Có nhiều tình huống tôi có thể thua khi đã đấu 150 hoặc 200 trận.



	Nhưng cuối cùng, Dante đã chiến thắng.



	Khi 400 trận chiến trôi qua, Dante hẳn đã cảm thấy những lời nói lúc đó đang biến thành những thanh kiếm và thúc đẩy anh tiến về phía trước.



	Kết quả là Dante phát triển nhanh chóng và đạt được kỷ lục đáng kinh ngạc với 472 trận thắng trong 472 trận đấu.



	Alpheus cảm thấy mọi chuyện đang trở nên tồi tệ.



	“Tôi biết là anh đang nghĩ như thế mà.”



	Tôi quay lại nhìn Olivia, nhưng cô ấy lắc đầu như thể cô ấy chưa từng nghe về điều đó trước đây. Tôi không bao giờ ngờ rằng Dante thực sự sẽ liều mạng trong một cuộc đấu tay đôi. Quyết tâm trở thành phù thủy giỏi nhất của anh ấy là tốt, nhưng nó quá sức đối với một cậu bé 18 tuổi.



	Rồi đột nhiên tôi nhận ra.



	Khi mới 18 tuổi, áp lực phải giữ vững vị trí hàng đầu của mình chắc hẳn còn lớn hơn nhiều.



	Làm sao có thể tốt đẹp khi được lên tạp chí, được tất cả sinh viên ngưỡng mộ và đánh bại đối thủ của mình?



	Dante chắc chắn phải chịu trách nhiệm cho sự lựa chọn cực đoan của mình.



	Dante nói lại như thể đó không phải là lời nói dối.



	“Giết ta đi. Ta chưa từng nghĩ tới thua ai cả. Đây là ta bại. Nếu ngươi không muốn nhúng tay vào, ta tự mình làm. Nhưng ta sẽ không quỳ trước mặt ngươi.”



	Shirone cúi đầu thở dài.



	Dante đã phạm phải một sai lầm rất nghiêm trọng. Đó là quyết định của riêng anh ấy về cách xử lý cuộc sống của mình, nhưng khi anh ấy nói ra, điều đó làm tổn thương một số người và khiến những người khác tức giận.



	“Bởi vì tôi thua… tôi sẽ chết?”



	“Đúng vậy. Đó là quyết tâm của tôi khi bước vào trận đấu này.”



	“Tại sao? Anh là ai?”



	Đôi mắt của các học sinh mở to vì ngạc nhiên. Dante rùng mình vì xấu hổ. Nhưng người cảm động nhất vào lúc này là Sirone.



	“Ngươi bảo người khác quỳ xuống dễ dàng như vậy, mà ngay cả việc đó ngươi cũng không làm được sao?”



	"Ngươi nói nhảm, ta thật sự liều mạng, ta nói ta sẽ tự mình biến mất, mặc dù ta có thể là đối thủ cả đời của ngươi."



	“Bạn tuyệt vời đến thế sao?”



	Biểu cảm của Dante lại nhăn lại. Mặc dù anh thua, nhưng anh đã chiến đấu rất tốt. Anh nghĩ Shirone sẽ hiểu được cảm xúc của anh.



	“Ta nghĩ ngươi đã xứng đáng với danh tiếng là người tài giỏi nhất vương quốc. Tất nhiên, ta không có ý định bào chữa. Nhưng ngươi cũng không dễ dàng đánh bại ta, đúng không?”



	“Người giỏi nhất trong vương quốc? Vậy bạn có thể làm gì? Bạn có thể ngăn chặn chiến tranh không?”



	"Gì?"



	"Nếu anh vĩ đại như vậy, tại sao anh không thử thay đổi dù chỉ một điều nhỏ nhặt? Anh không thể làm gì cả. Vậy tại sao anh lại liều mạng để thất bại?"



	Biểu cảm của Dante trở nên méo mó, nhưng Sirone vẫn tiếp tục bắn.



	“Chiến tranh, nạn đói, nội chiến, không gì có thể ngăn cản được. Thì sao? Người giỏi nhất trong vương quốc? Anh thật tuyệt vời?”



	Dante thở hổn hển. Mỗi lời Sirone thốt ra đều như dao đâm vào đầu, ngực và tim anh. Anh đang ngã xuống như vậy. Thứ gì đó tạo nên anh đang rơi xuống vực thẳm.



	"Thế giới sẽ không thay đổi nếu bạn chết. Không ai coi trọng cái chết của bạn."



	Dante không thể chịu đựng được nữa, anh cảm thấy mình sẽ rơi xuống đáy vực nếu cứ tiếp tục như thế này.



	“Im lặng! Ngươi kiêu ngạo như vậy chỉ vì thắng một lần sao! Lần này ngươi muốn đánh thật sao?”



	“Dante.”



	Shirone nhìn anh với ánh mắt cảm thông.



	“Anh chỉ là con người thôi.”



	Khuôn mặt Dante tái nhợt. Cảm giác như có thứ gì đó bao quanh lớp vỏ của anh đang bị vỡ tan.



	Đột nhiên, lời nói của Canis hiện lên trong tâm trí.





	-Bởi vì bạn sẽ cảm thấy như mình đã bị giẫm xuống điểm thấp nhất mà bạn có thể tưởng tượng được.





	Ngay từ đầu đã không phải là một cuộc chiến. Những gì Canis nói đều là sự thật, không hề khoa trương một chút nào.



	"Ngay cả một phù thủy vĩ đại cũng không, không, không một con người nào có thể một mình thay đổi thế giới. Họ là con người. Đó là lý do tại sao bạn không có quyền chết."



	Các sinh viên im lặng trong sự im lặng trang nghiêm. Cũng như những người đã chế giễu Sirone là kẻ hèn nhát vì từ chối chiến đấu với Dante.



	Một tấm danh thiếp nói rằng anh là người tài năng nhất vương quốc.



	Chắc chắn đó là cái tên như mơ đối với một pháp sư đầy tham vọng. Nhưng nhìn từ xa, nó chẳng qua chỉ là một khái niệm dưới mức con người do con người tạo ra.



	“Đứa trẻ đó…?”



	Olivia hỏi Alpheus. Chi tiết về Sirone là ai sẽ được ghi trong hồ sơ học sinh, nhưng đó không phải là điều cô muốn biết.



	Cuối cùng Alpheus đã thú nhận sự thật.



	“Shirone…… gặp Miro. Và rồi cô ấy gặp Tổng lãnh thiên thần Ichael trên thiên đường.”



	Olivia quay đầu lại với vẻ mặt ngạc nhiên.



	Alpheus gật đầu với nụ cười cay đắng.



	“Đúng vậy. Tôi là một trong số ít người biết được sự thật.”



	Olivia đang chìm đắm trong suy nghĩ.



	Ngay cả bây giờ, thế giới này vẫn được duy trì bởi một phù thủy.



	Biết được sự thật đó, mọi sự kiện trong lịch sử loài người dường như càng trở nên tầm thường hơn đối với Shirone.



	"Cậu ấy là một đứa trẻ mạnh mẽ. Hầu hết mọi người sẽ sợ hãi hoặc bỏ cuộc."



	“Cậu ấy không như vậy ngay từ đầu. Cậu ấy là một đứa trẻ nhút nhát và kín đáo.”



	Alpheus nhớ lại ngày anh gặp Sirone. Cậu bé mười hai tuổi đã lắng nghe bài học của anh từ bên kia bức tường giờ đã trở thành một chàng trai trẻ đầy triển vọng có thể được đặt ở bất cứ đâu trong vương quốc.



	=======================================





Số 256





	“Cạnh tranh không chỉ là một hệ thống để xác định ai là số một. Đó là một quá trình tìm kiếm triết lý của riêng bạn trong khi gặp phải nhiều triết lý. Thật ngu ngốc khi bị ám ảnh bởi thứ hạng.”



	Olivia nhìn Dante với vẻ thương hại.



	Những gì Shirone nói không hề dối trá. Thay đổi thế giới ở một cấp độ hoàn toàn khác so với việc trở thành số một trong một trường học phép thuật.



	MacLaine Guffin, người được cho là phù thủy quyền năng nhất trong lịch sử loài người, mặc dù danh tính thực sự của ông vẫn chưa được xác nhận.



	Và người kế nhiệm được ông lựa chọn là Adrias Miro.



	Ngay cả họ cũng phải hy sinh rất nhiều để bảo vệ thế giới này.



	“Dante có thể mạnh như Sirone không?”



	“Mọi người sẽ trở nên mạnh mẽ hơn. Tất cả học sinh ở đây.”



	Olivia nhắm mắt lại.



	Với điều này, cuộc chiến đã kết thúc. Và mối liên kết bền chặt giữa anh và Alpheus cũng kết thúc tại đây.



	“Tôi thua rồi. Tôi sẽ từ chức hiệu trưởng và rời khỏi trường.”



	Alpheus nói với nụ cười ranh mãnh.



	“Tôi cứ thế này có được không?”



	“Anh đang nói gì vậy? Dù sao thì nhiệm kỳ của anh cũng sắp kết thúc rồi.”



	“Xin hãy ở lại trường và giúp tôi. Khi tôi già đi, thật khó để làm một mình. Nói cách khác, tôi muốn bạn trở thành phó hiệu trưởng của trường này.”



	Mắt Olivia nheo lại.



	Anh ta được yêu cầu có mối quan hệ với một người từng là hiệu trưởng của Trường Ma thuật Hoàng gia. Và điều đó cũng xảy ra dưới thời Alpheus, người bị ghét cay ghét đắng.



	Tôi định chôn nó ở đây. Tôi định quên nó đi và tiếp tục sống, vì dù tôi có làm gì đi nữa, tôi cũng không thể đánh bại được con rắn này.



	Nhưng Alpheus dường như không thể chịu đựng được việc tự hành hạ mình đến cùng.



	Tất nhiên, ý định của đề xuất này là dễ hiểu. Nếu Jerome Olivia là phó hiệu trưởng, danh tiếng của trường sẽ tăng lên ngay lập tức. Ngoài ra, có rất nhiều cải tiến mà ông đã mang lại trong thời gian ở đây.



	Đó là lý do tại sao chúng ta phải từ chối nó nhiều hơn nữa.



	Tôi không thể mắc lừa trò lừa của Alpheus khi cố gắng bắt hai con thỏ cùng một lúc: danh tiếng và khả năng.



	“Giao tiếp? Tôi có bị điên không? Tại sao tôi phải giúp anh và làm những việc như thế?”



	Alpheus rút ra lá bài chủ của mình mà không chút do dự.



	“Đêm hôm đó…… khi anh tới…….”



	“Dừng lại! Làm ơn!”



	Olivia hét lên và nhắm chặt mắt.



	Trên đời này có người tàn nhẫn như vậy sao? Họ có thù oán gì với tôi sao?



	Khi một người mà tôi đã không liên lạc trong hơn 10 năm đột nhiên xuất hiện, tôi nghĩ đó là cơ hội để trả thù.



	Nhưng bây giờ, anh vô cùng hối tiếc khi không thể đưa anh trở về vào ngày anh đến tìm anh.



	Nước mắt trào ra trong mắt Olivia.



	“Anh… thật là ích kỷ.”



	Alpheus ngừng nói đùa và nói nghiêm túc.



	“Đừng làm vậy, ở lại đây đi. Khi nào rảnh rỗi, chúng ta cùng nhau uống trà và chăm sóc vườn hoa. Và… chào Erina nhé.”



	Mắt Olivia sáng lên. Anh hiểu rõ cảm xúc của cô, nhưng anh vẫn bảo cô tạm biệt người vợ quá cố của anh.



	Tại sao tôi lại phải chịu sự sỉ nhục như thế này?



	Tôi chỉ thích nó thôi. Tôi đã làm gì sai mà người đàn ông này muốn ném tôi xuống vực sâu địa ngục?



	“Anh thật sự……!”



	Olivia đang định lên tiếng thì dừng lại khi nhìn thấy ánh mắt của Alpheus. Một cảm xúc khác lạ hiện lên trong đôi mắt anh.



	“Anh, chắc chắn là….”



	Alpheus lắc đầu. Anh biết Olivia sẽ thất vọng, nhưng anh không thể làm cô ấy tổn thương lần thứ hai.



	Nhưng cũng đúng là mọi thứ đã khác 30 năm trước. Có lẽ đúng là như vậy.



	“Đừng hiểu lầm tôi. Đúng vậy, tôi biết anh đang nghĩ gì, nhưng thành thật mà nói, tôi không chắc. Tôi có thể không thể để Erina đi cho đến khi tôi chết. Tôi không thể đảm bảo với anh bất cứ điều gì.”



	Ánh mắt của Olivia trở nên lạnh lùng hơn một chút, nhưng không lạnh lùng như lần đầu tiên.



	“Nhưng tại sao anh lại làm thế? Anh có thể được gì từ tôi khi vẫn giữ chặt người vợ đã chết của anh? Giống như, một thứ gì đó hữu hình? Anh đang già đi và cảm thấy cô đơn sao?”



	Alpheus nhìn lên bầu trời.



	“Có lẽ vậy. Đó không phải là quyết định sáng suốt. Tôi chỉ cảm thấy nếu bây giờ không làm, tôi sẽ không còn cơ hội nào nữa. Chỉ vậy thôi.”



	Olivia làm vẻ mặt vô hồn. Alpheus cười ngượng ngùng và nói. Ngay cả khi anh nghĩ về điều đó, nó cũng vô nghĩa.



	“Có phải hơi ích kỷ không?”



	Olivia lắc đầu.



	“Không. Bạn biết điều gì thực sự ích kỷ không? Đó là đây là lần đầu tiên bạn thành thật về cảm xúc của mình.”



	“Tôi xin lỗi. Tôi không thể kiềm chế được. Hồi đó là như vậy. Anh biết đấy, tôi không thể kiềm chế được.”



	Olivia hít một hơi thật sâu và suy nghĩ.



	“Vậy rốt cuộc anh muốn em làm gì? Anh muốn em lại bám lấy anh ở độ tuổi này sao? Có lẽ em sẽ chấp nhận?”



	“Tôi vẫn không biết lòng mình. Cho dù tôi sống trên thế gian này bao lâu, tôi cũng không biết những chuyện như thế này. Nhưng tôi sẽ thử xem.”



	Olivia cố ngăn những giọt nước mắt sắp trào ra.



	Tôi lẽ ra phải tức giận vì lời đề nghị ích kỷ đó, nhưng ngay khi nghe anh ấy nói đang cố gắng, tôi cảm thấy cơn giận của mình biến mất, và tôi cảm thấy mình thật đáng thương và khốn khổ.



